code,parentCode,level,nb_name,name
7534,753,4,Møbeltapetserere mv.,Upholsterers and related workers
7535,753,4,Skinnberedere og garvere,"Pelt dressers, tanners and fellmongers"
7536,753,4,Skomakere,Shoemakers and related workers
7541,754,4,Yrkesdykkere,Underwater divers
7542,754,4,Skytebaser og sprengningsarbeidere,Shotfirers and blasters
7543,754,4,Produkttestere (ikke matprodukter),Product graders and testers (excluding food and beverages)
7544,754,4,Desinfeksjonsarbeidere og skadedyrbekjempere,Fumigators and other pest and weed controllers
7549,754,4,Andre håndverkere,Craft and related workers not elsewhere classified
81,8,2,Prosess- og maskinoperatører,Stationary plant and machine operators
8111,811,4,Bergfagarbeidere,Miners and quarriers
8112,811,4,Prosessoperatører (oppredning),Mineral and stone processing plant operators
8113,811,4,Operatører innen boring mv.,Well drillers and borers and related workers
8114,811,4,Operatører innen produksjon av betong mv.,"Cement, stone and other mineral products machine operators"
8121,812,4,Operatører innen metallurgiske prosessfag,Metal processing plant operators
8122,812,4,Operatører innen metallflatebehandling,"Metal finishing, plating and coating machine operators"
8131,813,4,Operatører innen kjemisk industri,Chemical products plant and machine operators
8132,813,4,Operatører innen produksjon av fotofilm og -papir mv.,Photographic products machine operators
8141,814,4,Operatører innen produksjon av gummiprodukter,Rubber products machine operators
8142,814,4,Operatører innen plastprodukter,Plastic products machine operators
8143,814,4,Operatører innen papirprodukter,Paper products machine operators
8151,815,4,Spinne- og nøstemaskinoperatører,"Fibre preparing, spinning and winding machine operators"
8152,815,4,Operatører innen tekstilproduksjon mv.,Weaving and knitting machine operators
8153,815,4,Industrisyere,Sewing machine operators
8154,815,4,Operatører innen tekstilbearbeiding,"Bleaching, dyeing and fabric cleaning machine operators"
8155,815,4,"Operatører innen pels, skinn- og lærbearbeiding",Fur and leather preparing machine operators
8156,815,4,Operatører innen skinn og lærprodukter,Shoemaking and related machine operators
8157,815,4,Renseri- og vaskerimaskinoperatører,Laundry machine operators
8159,815,4,"Andre operatører innen produksjon av tekstiler, pels, skinn og lær","Textile, fur and leather products machine operators not elsewhere classified"
8160,816,4,Operatører innen næringsmiddelproduksjon,Food and related products machine operators
8171,817,4,Operatører innen treforedling,Pulp and papermaking plant operators
8172,817,4,Operatører innen trelastproduksjon,Wood processing plant operators
8181,818,4,Operatører innen glass- og keramisk produksjon,Glass and ceramics plant operators
8182,818,4,Fyrkjele- og turbinoperatører,Steam engine and boiler operators
